id,RFM_Overall,Segment
10408,133,At Risk
10409,355,Loyal
1041,321,About To Sleep
10410,453,Potential Loyalist
10411,344,Loyal
10413,334,Need Attention
10414,343,Need Attention
10415,131,Lost customers
10416,442,Potential Loyalist
10417,325,Need Attention
10418,553,Potential Loyalist
10419,244,At Risk
1042,332,Hibernating customers
10420,543,Loyal
10421,255,At Risk
10422,455,Champions
10423,531,Potential Loyalist
10425,323,Potential Loyalist
10426,332,Hibernating customers
10427,514,Promising
10429,313,Promising
10430,522,Promising
10431,455,Champions
10432,422,New Customers
10434,224,At Risk
10435,332,Hibernating customers
10436,344,Loyal
1044,114,Cannot Lose Them
10440,121,Lost customers
10441,343,Need Attention
10442,412,New Customers
10443,111,Lost customers
10444,241,About To Sleep
10444,241,Hibernating customers
10445,244,At Risk
10446,125,At Risk
10447,321,About To Sleep
10448,312,About To Sleep
10449,211,Hibernating customers
1045,455,Champions
10450,455,Champions
10451,345,Loyal
10453,254,At Risk
10454,243,At Risk
10455,423,Potential Loyalist
10456,123,Hibernating customers
10458,554,Champions
10459,131,Lost customers
1046,254,At Risk
10461,142,At Risk
10462,232,Hibernating customers
10465,331,About To Sleep
10466,243,At Risk
10467,244,At Risk
10469,125,At Risk
1047,213,About To Sleep
10471,212,Hibernating customers
10472,445,Champions
10474,345,Loyal
10475,143,At Risk
10476,531,Potential Loyalist
10477,444,Loyal
10478,411,New Customers
1048,325,Need Attention
10480,514,Promising
10481,324,Need Attention
10482,234,At Risk
10483,431,Potential Loyalist
10484,243,At Risk
10485,211,Hibernating customers
10486,241,Hibernating customers
10486,241,About To Sleep
10487,255,At Risk
1049,152,At Risk
10490,113,Cannot Lose Them
10491,425,Promising
10492,111,Lost customers
10493,255,At Risk
10495,511,New Customers
10497,512,New Customers
10499,455,Champions
105,555,Champions
1050,322,Hibernating customers
10501,131,Lost customers
10502,114,Cannot Lose Them
10504,524,Promising
10505,431,Potential Loyalist
10507,431,Potential Loyalist
10508,455,Champions
10509,214,Cannot Lose Them
10510,331,About To Sleep
10511,312,About To Sleep
10512,555,Champions
10513,553,Potential Loyalist
10514,331,About To Sleep
10515,344,Loyal
10516,113,Cannot Lose Them
10518,242,At Risk
10519,421,New Customers
1052,224,At Risk
10520,312,About To Sleep
10521,144,Cannot Lose Them
10524,355,Loyal
10525,535,Need Attention
10526,543,Loyal
10528,132,Hibernating customers
1053,124,At Risk
10531,433,Potential Loyalist
10534,421,New Customers
10536,234,At Risk
10537,354,Loyal
10539,134,At Risk
10540,511,New Customers
10544,342,Potential Loyalist
10545,134,At Risk
10546,453,Potential Loyalist
10548,513,Promising
10549,532,Potential Loyalist
1055,511,New Customers
10550,455,Champions
10551,321,About To Sleep
10552,444,Loyal
10554,355,Loyal
10555,521,Promising
10556,322,Hibernating customers
10557,135,At Risk
10558,512,New Customers
10559,432,Potential Loyalist
1056,312,About To Sleep
10560,452,Potential Loyalist
10561,353,Potential Loyalist
10562,421,New Customers
10563,115,Cannot Lose Them
10564,354,Loyal
10567,121,Lost customers
10568,332,Hibernating customers
10569,455,Champions
1057,243,At Risk
10570,335,Loyal
10571,313,Promising
10573,523,Promising
10575,122,Hibernating customers
10576,243,At Risk
10577,455,Champions
10578,212,Hibernating customers
10579,432,Potential Loyalist
1058,432,Potential Loyalist
10580,414,Promising
10582,224,At Risk
10584,422,New Customers
10587,241,Hibernating customers
10587,241,About To Sleep
10588,242,At Risk
1059,334,Need Attention
10591,121,Lost customers
10593,225,At Risk
10594,535,Need Attention
10595,245,At Risk
10596,123,Hibernating customers
10597,344,Loyal
10599,354,Loyal
1060,355,Loyal
10600,445,Champions
10601,514,Promising
10602,254,At Risk
10603,324,Need Attention
10604,132,Hibernating customers
10605,131,Lost customers
10606,454,Champions
10607,235,At Risk
10608,333,Potential Loyalist
10609,242,At Risk
1061,312,About To Sleep
10612,213,About To Sleep
10614,224,At Risk
10616,133,At Risk
10617,323,Potential Loyalist
10619,354,Loyal
10620,221,About To Sleep
10621,222,Hibernating customers
10622,553,Potential Loyalist
10625,332,Hibernating customers
10626,433,Potential Loyalist
10628,133,At Risk
10629,214,Cannot Lose Them
1063,111,Lost customers
10630,353,Potential Loyalist
10631,514,Promising
10634,411,New Customers
10635,544,Champions
10636,454,Champions
10638,152,At Risk
10639,324,Need Attention
10640,334,Need Attention
10641,113,Cannot Lose Them
10642,211,Hibernating customers
10643,555,Champions
10648,432,Potential Loyalist
10649,335,Loyal
1065,214,Cannot Lose Them
10651,533,Potential Loyalist
10652,324,Need Attention
10653,554,Champions
10654,453,Potential Loyalist
10655,512,New Customers
10657,434,Need Attention
10658,341,Potential Loyalist
10659,554,Champions
10660,244,At Risk
10661,454,Champions
10662,221,About To Sleep
10663,345,Loyal
10664,131,Lost customers
10665,414,Promising
10666,111,Lost customers
10667,243,At Risk
10668,322,Hibernating customers
10669,123,Hibernating customers
10670,425,Promising
10672,321,About To Sleep
10673,342,Potential Loyalist
10674,221,About To Sleep
10678,354,Loyal
10679,131,Lost customers
1068,215,Cannot Lose Them
10681,132,Hibernating customers
10682,123,Hibernating customers
10683,122,Hibernating customers
10686,134,At Risk
10687,421,New Customers
10688,411,New Customers
10689,114,Cannot Lose Them
1069,514,Promising
10691,454,Champions
10692,113,Cannot Lose Them
10694,244,At Risk
10696,133,At Risk
10697,341,Potential Loyalist
10698,445,Champions
10699,444,Loyal
107,452,Potential Loyalist
1070,344,Loyal
10701,423,Potential Loyalist
10702,431,Potential Loyalist
10703,423,Potential Loyalist
10704,424,Promising
10707,512,New Customers
10709,524,Promising
10710,231,About To Sleep
10710,231,Hibernating customers
10711,132,Hibernating customers
10712,133,At Risk
10713,221,About To Sleep
10714,423,Potential Loyalist
10715,514,Promising
10716,255,At Risk
10717,552,Potential Loyalist
10719,124,At Risk
10721,133,At Risk
10722,113,Cannot Lose Them
10723,344,Loyal
10724,231,Hibernating customers
10724,231,About To Sleep
10725,514,Promising
10726,323,Potential Loyalist
10728,114,Cannot Lose Them
10729,455,Champions
1073,132,Hibernating customers
10730,114,Cannot Lose Them
10731,245,At Risk
10732,122,Hibernating customers
10735,345,Loyal
10737,241,About To Sleep
10737,241,Hibernating customers
10738,222,Hibernating customers
1074,513,Promising
10740,142,At Risk
10741,121,Lost customers
10742,514,Promising
10743,241,About To Sleep
10743,241,Hibernating customers
10744,355,Loyal
10746,414,Promising
10747,435,Loyal
10749,134,At Risk
1075,112,Lost customers
10751,422,New Customers
10752,555,Champions
10753,433,Potential Loyalist
10755,555,Champions
10756,513,Promising
10757,113,Cannot Lose Them
10758,442,Potential Loyalist
10759,254,At Risk
10760,323,Potential Loyalist
10761,133,At Risk
10762,212,Hibernating customers
10763,124,At Risk
10764,355,Loyal
10765,445,Champions
10766,553,Potential Loyalist
10767,553,Potential Loyalist
10768,131,Lost customers
10769,344,Loyal
1077,122,Hibernating customers
10772,412,New Customers
10774,131,Lost customers
10775,512,New Customers
10776,123,Hibernating customers
10777,333,Potential Loyalist
1078,353,Potential Loyalist
10780,512,New Customers
10782,211,Hibernating customers
10784,543,Loyal
10786,133,At Risk
10787,153,At Risk
10789,245,At Risk
1079,231,Hibernating customers
1079,231,About To Sleep
10790,513,Promising
10791,111,Lost customers
10792,332,Hibernating customers
10793,522,Promising
10794,245,At Risk
10795,243,At Risk
10798,455,Champions
10799,555,Champions
108,343,Need Attention
1080,112,Lost customers
10800,331,About To Sleep
10801,142,At Risk
10802,511,New Customers
10803,332,Hibernating customers
10804,545,Champions
10805,111,Lost customers
10806,432,Potential Loyalist
10807,345,Loyal
10808,355,Loyal
10809,111,Lost customers
1081,223,Hibernating customers
10811,524,Promising
10812,413,Promising
10813,121,Lost customers
10814,211,Hibernating customers
10815,111,Lost customers
10816,421,New Customers
10818,155,Cannot Lose Them
10819,113,Cannot Lose Them
1082,544,Champions
10820,454,Champions
10821,222,Hibernating customers
10822,153,At Risk
10823,345,Loyal
10824,143,At Risk
10825,211,Hibernating customers
10827,532,Potential Loyalist
10828,555,Champions
10829,345,Loyal
10830,431,Potential Loyalist
10831,555,Champions
10833,323,Potential Loyalist
10834,321,About To Sleep
10836,414,Promising
10837,212,Hibernating customers
10838,514,Promising
10839,255,At Risk
1084,131,Lost customers
10840,145,At Risk
10845,242,At Risk
10847,454,Champions
10849,431,Potential Loyalist
1085,521,Promising
10850,113,Cannot Lose Them
10853,243,At Risk
10854,232,Hibernating customers
10855,254,At Risk
10856,343,Need Attention
10857,332,Hibernating customers
10858,522,Promising
10859,555,Champions
1086,421,New Customers
10861,132,Hibernating customers
10862,432,Potential Loyalist
10865,242,At Risk
10866,224,At Risk
10867,525,Promising
10868,334,Need Attention
1087,241,About To Sleep
1087,241,Hibernating customers
10870,444,Loyal
10871,553,Potential Loyalist
10872,232,Hibernating customers
10873,514,Promising
10874,454,Champions
10875,241,About To Sleep
10875,241,Hibernating customers
10876,332,Hibernating customers
10877,442,Potential Loyalist
10878,324,Need Attention
1088,344,Loyal
10880,335,Loyal
10882,222,Hibernating customers
10883,343,Need Attention
10884,345,Loyal
10885,455,Champions
10886,355,Loyal
10887,321,About To Sleep
1089,445,Champions
10890,522,Promising
10892,212,Hibernating customers
10893,454,Champions
10895,312,About To Sleep
10896,331,About To Sleep
10897,334,Need Attention
10898,545,Champions
109,344,Loyal
10901,143,At Risk
10903,555,Champions
10904,111,Lost customers
10905,432,Potential Loyalist
10906,555,Champions
10907,114,Cannot Lose Them
10908,324,Need Attention
10909,522,Promising
1091,543,Loyal
10910,241,About To Sleep
10910,241,Hibernating customers
10912,221,About To Sleep
10915,112,Lost customers
10916,135,At Risk
10917,231,Hibernating customers
10917,231,About To Sleep
10918,243,At Risk
1092,324,Need Attention
10923,121,Lost customers
10925,554,Champions
10926,344,Loyal
10928,243,At Risk
10929,432,Potential Loyalist
1093,521,Promising
10930,342,Potential Loyalist
10931,225,At Risk
10933,345,Loyal
10934,135,At Risk
10935,132,Hibernating customers
10936,155,Cannot Lose Them
1094,433,Potential Loyalist
10940,424,Promising
10941,242,At Risk
10942,122,Hibernating customers
10944,255,At Risk
10945,345,Loyal
10947,152,At Risk
10948,121,Lost customers
1095,231,About To Sleep
1095,231,Hibernating customers
10951,133,At Risk
10952,211,Hibernating customers
10953,211,Hibernating customers
10954,132,Hibernating customers
10955,513,Promising
10956,131,Lost customers
10957,154,Cannot Lose Them
10958,444,Loyal
10959,213,About To Sleep
1096,211,Hibernating customers
10965,421,New Customers
10966,355,Loyal
10967,323,Potential Loyalist
10968,213,About To Sleep
10969,453,Potential Loyalist
1097,512,New Customers
10971,555,Champions
10972,332,Hibernating customers
10973,222,Hibernating customers
10974,431,Potential Loyalist
10975,414,Promising
10976,143,At Risk
10978,323,Potential Loyalist
10979,252,At Risk
1098,424,Promising
10982,353,Potential Loyalist
10983,522,Promising
10984,243,At Risk
10985,123,Hibernating customers
10986,411,New Customers
10987,534,Need Attention
10988,243,At Risk
10989,344,Loyal
1099,211,Hibernating customers
10990,454,Champions
10991,121,Lost customers
10992,434,Need Attention
10994,112,Lost customers
10995,455,Champions
10997,144,Cannot Lose Them
10998,425,Promising
1100,522,Promising
11000,321,About To Sleep
11003,244,At Risk
11004,342,Potential Loyalist
11005,553,Potential Loyalist
11007,111,Lost customers
11009,325,Need Attention
1101,435,Loyal
11010,421,New Customers
11011,121,Lost customers
11012,123,Hibernating customers
11013,454,Champions
11014,233,Hibernating customers
11016,544,Champions
11017,555,Champions
11019,555,Champions
1102,213,About To Sleep
11021,411,New Customers
11025,321,About To Sleep
11026,311,New Customers
11028,131,Lost customers
11029,413,Promising
1103,245,At Risk
11030,454,Champions
11032,511,New Customers
11033,342,Potential Loyalist
11034,223,Hibernating customers
11036,122,Hibernating customers
11037,344,Loyal
11038,411,New Customers
11039,553,Potential Loyalist
1104,154,Cannot Lose Them
11041,131,Lost customers
11042,431,Potential Loyalist
11043,514,Promising
11045,514,Promising
11046,455,Champions
11047,214,Cannot Lose Them
11048,533,Potential Loyalist
1105,324,Need Attention
11050,514,Promising
11051,132,Hibernating customers
11054,525,Promising
11055,321,About To Sleep
11056,142,At Risk
11058,353,Potential Loyalist
11059,322,Hibernating customers
1106,531,Potential Loyalist
11060,135,At Risk
11061,122,Hibernating customers
11062,355,Loyal
11063,121,Lost customers
11064,413,Promising
11065,113,Cannot Lose Them
11066,121,Lost customers
11067,132,Hibernating customers
11068,211,Hibernating customers
11069,343,Need Attention
1107,514,Promising
11072,224,At Risk
11073,332,Hibernating customers
11074,241,Hibernating customers
11074,241,About To Sleep
11075,414,Promising
11077,133,At Risk
11078,331,About To Sleep
11079,214,Cannot Lose Them
1108,431,Potential Loyalist
11081,355,Loyal
11082,222,Hibernating customers
11083,545,Champions
11084,345,Loyal
11085,321,About To Sleep
11087,542,Potential Loyalist
11088,422,New Customers
11089,555,Champions
11090,532,Potential Loyalist
11091,414,Promising
11093,511,New Customers
11095,244,At Risk
11096,323,Potential Loyalist
11097,412,New Customers
111,444,Loyal
1110,342,Potential Loyalist
11101,514,Promising
11103,225,At Risk
11104,515,Promising
11105,312,About To Sleep
11109,415,Promising
1111,531,Potential Loyalist
11110,423,Potential Loyalist
11113,454,Champions
11114,355,Loyal
11115,543,Loyal
11117,355,Loyal
11119,223,Hibernating customers
1112,333,Potential Loyalist
11120,122,Hibernating customers
11123,355,Loyal
11124,511,New Customers
11127,523,Promising
11128,355,Loyal
1113,445,Champions
11130,115,Cannot Lose Them
11131,555,Champions
11133,455,Champions
11135,455,Champions
11136,554,Champions
11137,453,Potential Loyalist
11139,112,Lost customers
1114,442,Potential Loyalist
11142,144,Cannot Lose Them
11144,453,Potential Loyalist
11145,445,Champions
11146,534,Need Attention
11147,133,At Risk
11148,522,Promising
11149,133,At Risk
1115,135,At Risk
11150,554,Champions
11151,512,New Customers
11152,112,Lost customers
11153,455,Champions
11154,331,About To Sleep
11155,555,Champions
11157,114,Cannot Lose Them
1116,123,Hibernating customers
11160,314,Promising
11161,231,About To Sleep
11161,231,Hibernating customers
11163,144,Cannot Lose Them
11164,555,Champions
11165,214,Cannot Lose Them
11167,221,About To Sleep
11168,352,Potential Loyalist
11169,244,At Risk
1117,211,Hibernating customers
11170,255,At Risk
11171,511,New Customers
11172,254,At Risk
11173,125,At Risk
11175,232,Hibernating customers
11177,221,About To Sleep
11178,355,Loyal
11179,421,New Customers
11181,413,Promising
11182,321,About To Sleep
11183,154,Cannot Lose Them
11184,111,Lost customers
11186,514,Promising
11187,343,Need Attention
11189,411,New Customers
1119,552,Potential Loyalist
11190,312,About To Sleep
11192,343,Need Attention
11193,543,Loyal
11195,323,Potential Loyalist
11196,245,At Risk
11197,232,Hibernating customers
11198,213,About To Sleep
11199,355,Loyal
112,211,Hibernating customers
1120,244,At Risk
11200,523,Promising
11201,155,Cannot Lose Them
11202,355,Loyal
11203,133,At Risk
11204,345,Loyal
11206,245,At Risk
11209,243,At Risk
1121,255,At Risk
11211,331,About To Sleep
11212,453,Potential Loyalist
11213,343,Need Attention
11214,324,Need Attention
11215,554,Champions
11216,411,New Customers
11217,421,New Customers
11218,411,New Customers
11219,345,Loyal
1122,221,About To Sleep
11222,511,New Customers
11223,442,Potential Loyalist
11224,354,Loyal
11225,244,At Risk
11227,331,About To Sleep
11228,114,Cannot Lose Them
11229,144,Cannot Lose Them
1123,112,Lost customers
11230,524,Promising
11231,225,At Risk
11232,432,Potential Loyalist
11234,344,Loyal
11235,232,Hibernating customers
11237,121,Lost customers
11238,342,Potential Loyalist
11239,521,Promising
1124,312,About To Sleep
11240,132,Hibernating customers
11241,321,About To Sleep
11242,555,Champions
11243,342,Potential Loyalist
11244,222,Hibernating customers
11246,243,At Risk
11247,423,Potential Loyalist
11249,221,About To Sleep
11251,345,Loyal
11253,215,Cannot Lose Them
11255,454,Champions
11256,143,At Risk
11257,335,Loyal
11258,445,Champions
11259,442,Potential Loyalist
1126,511,New Customers
11261,344,Loyal
11262,112,Lost customers
11263,421,New Customers
11264,544,Champions
11265,224,At Risk
11266,154,Cannot Lose Them
11267,331,About To Sleep
11269,433,Potential Loyalist
11270,554,Champions
11273,155,Cannot Lose Them
11274,534,Need Attention
11275,454,Champions
11277,132,Hibernating customers
11278,432,Potential Loyalist
11279,343,Need Attention
1128,545,Champions
11281,134,At Risk
11283,555,Champions
11284,212,Hibernating customers
11285,222,Hibernating customers
11286,122,Hibernating customers
11287,223,Hibernating customers
11288,342,Potential Loyalist
11289,143,At Risk
11290,533,Potential Loyalist
11291,224,At Risk
11292,255,At Risk
11294,531,Potential Loyalist
11296,345,Loyal
11298,514,Promising
11299,122,Hibernating customers
113,113,Cannot Lose Them
11301,241,Hibernating customers
11301,241,About To Sleep
11304,343,Need Attention
11305,111,Lost customers
11306,513,Promising
11307,245,At Risk
11309,344,Loyal
1131,245,At Risk
11310,454,Champions
11311,322,Hibernating customers
11314,245,At Risk
11315,523,Promising
11317,334,Need Attention
11318,543,Loyal
11319,331,About To Sleep
1132,331,About To Sleep
11320,554,Champions
11321,111,Lost customers
11322,424,Promising
11323,442,Potential Loyalist
11324,431,Potential Loyalist
11326,213,About To Sleep
11327,243,At Risk
1133,524,Promising
11330,455,Champions
11331,142,At Risk
11332,554,Champions
11334,241,Hibernating customers
11334,241,About To Sleep
11335,543,Loyal
11336,152,At Risk
11337,422,New Customers
11339,325,Need Attention
1134,212,Hibernating customers
11340,132,Hibernating customers
11341,555,Champions
11342,512,New Customers
11343,422,New Customers
11345,455,Champions
11346,455,Champions
11347,422,New Customers
11348,443,Need Attention
11349,445,Champions
1135,242,At Risk
11351,555,Champions
11355,243,At Risk
11356,533,Potential Loyalist
11357,534,Need Attention
11358,243,At Risk
11359,223,Hibernating customers
11360,221,About To Sleep
11362,513,Promising
11363,144,Cannot Lose Them
11364,431,Potential Loyalist
11365,242,At Risk
11366,555,Champions
11367,334,Need Attention
11369,123,Hibernating customers
11371,114,Cannot Lose Them
11376,411,New Customers
11377,124,At Risk
11379,521,Promising
1138,554,Champions
11380,254,At Risk
11381,425,Promising
11382,132,Hibernating customers
11383,241,Hibernating customers
11383,241,About To Sleep
11384,424,Promising
11385,114,Cannot Lose Them
11387,213,About To Sleep
11389,242,At Risk
1139,134,At Risk
11390,111,Lost customers
11391,243,At Risk
11392,515,Promising
11393,131,Lost customers
11394,111,Lost customers
11395,535,Need Attention
11396,231,Hibernating customers
11396,231,About To Sleep
11399,343,Need Attention
114,131,Lost customers
11400,331,About To Sleep
11401,433,Potential Loyalist
11402,352,Potential Loyalist
11404,534,Need Attention
11405,244,At Risk
11406,212,Hibernating customers
11407,243,At Risk
11408,315,Promising
11409,254,At Risk
1141,553,Potential Loyalist
11410,431,Potential Loyalist
11411,323,Potential Loyalist
11413,255,At Risk
11415,422,New Customers
11416,554,Champions
11417,135,At Risk
11418,444,Loyal
11419,532,Potential Loyalist
11423,134,At Risk
11424,345,Loyal
11425,423,Potential Loyalist
11427,133,At Risk
11429,455,Champions
1143,413,Promising
11430,433,Potential Loyalist
11431,255,At Risk
11433,344,Loyal
11434,421,New Customers
11436,544,Champions
11437,211,Hibernating customers
11439,424,Promising
1144,521,Promising
11440,252,At Risk
11443,244,At Risk
11444,121,Lost customers
11445,244,At Risk
11446,221,About To Sleep
11447,343,Need Attention
11449,251,About To Sleep
11449,251,Hibernating customers
11451,514,Promising
11452,452,Potential Loyalist
11454,122,Hibernating customers
11455,454,Champions
11457,431,Potential Loyalist
11459,311,New Customers
1146,445,Champions
11460,341,Potential Loyalist
11461,132,Hibernating customers
11462,133,At Risk
11463,231,Hibernating customers
11463,231,About To Sleep
11464,534,Need Attention
11465,355,Loyal
11469,245,At Risk
1147,344,Loyal
11470,242,At Risk
11471,144,Cannot Lose Them
11472,445,Champions
11473,342,Potential Loyalist
11474,125,At Risk
11475,514,Promising
11476,342,Potential Loyalist
11477,531,Potential Loyalist
11478,544,Champions
11479,135,At Risk
1148,123,Hibernating customers
11480,533,Potential Loyalist
11481,433,Potential Loyalist
11482,444,Loyal
11486,512,New Customers
11488,321,About To Sleep
11489,532,Potential Loyalist
1149,131,Lost customers
11490,213,About To Sleep
11493,425,Promising
11494,122,Hibernating customers
11495,411,New Customers
11496,421,New Customers
11497,411,New Customers
11499,131,Lost customers
115,555,Champions
11502,341,Potential Loyalist
11503,355,Loyal
11504,132,Hibernating customers
